date|time|description|vendor|amount
2023-03-15|09:25:13|coffee|Starbucks|-4.25
2023-01-10|14:10:45|Invoice 1002 paid|Anna|850.00
2023-02-07|12:34:56|software license|QuickBooks|-199.99
2023-04-20|08:15:02|fuel refill|Shell|-63.20
2023-03-12|11:45:01|client payment|Freelance LLC|1200.00
2023-01-21|17:00:00|office chair|Amazon|-139.00
2023-05-08|15:14:33|grocery shopping|Walmart|-76.34
2023-04-22|10:55:23|Invoice 1003 paid|Joe|950.00
2023-06-11|18:30:05|refund processed|Apple|89.99
2023-03-28|07:20:17|monthly subscription|Netflix|-15.99
2023-02-14|13:09:45|web hosting fee|Google|-12.00
2023-07-01|10:10:10|client payment|Anna|1325.00
2023-08-03|16:40:22|hardware repair|BestBuy|-249.00
2023-09-10|19:23:58|Invoice 1004 paid|Freelance LLC|1800.00
2023-03-05|08:05:45|laptop purchase|Amazon|-1250.00
2023-02-01|20:45:12|coffee|Starbucks|-4.50
2023-04-25|14:30:45|fuel refill|Shell|-50.75
2023-06-20|09:12:33|Invoice 1005 paid|Joe|975.00
2023-01-30|11:00:00|monthly subscription|Netflix|-12.99
2023-05-15|17:10:12|client payment|Anna|1420.00
2023-06-06|13:22:09|office chair|Target|-120.00
2023-04-03|10:14:25|web hosting fee|Google|-10.00
2023-08-20|18:55:10|refund processed|Apple|79.99
2023-07-15|15:33:47|Invoice 1006 paid|QuickBooks|1450.00
2023-09-01|12:00:00|ergonomic keyboard|Amazon|-85.49
2023-03-25|16:45:00|client payment|Joe|1100.00
2023-05-28|07:07:07|grocery shopping|Costco|-92.30
2023-06-30|20:25:33|monthly subscription|Netflix|-13.99
2023-10-01|09:17:45|fuel refill|Shell|-60.10
2023-04-17|14:12:21|Invoice 1007 paid|Anna|990.00
2023-07-27|10:30:30|coffee|Starbucks|-3.85
2023-08-05|19:45:50|hardware repair|BestBuy|-200.00
2023-03-22|12:15:15|client payment|Freelance LLC|1600.00
2023-02-20|16:16:16|monthly subscription|Netflix|-14.99
2023-09-05|11:05:44|Invoice 1008 paid|Joe|1000.00
2023-01-13|13:13:13|web hosting fee|Google|-11.00
2023-04-19|10:20:20|grocery shopping|Walmart|-78.65
2023-06-18|17:17:17|coffee|Starbucks|-4.00
2023-07-12|08:08:08|office chair|Target|-129.00
2023-10-04|14:14:14|refund processed|Apple|65.50
2023-02-27|15:30:45|client payment|Anna|1400.00
2023-03-30|19:19:19|Invoice 1009 paid|QuickBooks|1350.00
2023-06-09|12:12:12|fuel refill|Shell|-58.70
2023-05-01|11:11:11|monthly subscription|Netflix|-16.00
2023-08-08|16:16:16|grocery shopping|Costco|-89.10
2023-09-09|09:09:09|web hosting fee|Google|-13.00
2023-02-25|14:14:14|hardware repair|BestBuy|-210.00
2023-01-05|10:10:10|client payment|Freelance LLC|1250.00
2023-03-10|13:13:13|coffee|Starbucks|-3.99
2023-07-04|07:07:07|Invoice 1010 paid|Joe|1050.00
2023-08-22|18:18:18|laptop purchase|Amazon|-1150.00
2023-04-01|20:20:20|refund processed|Apple|55.00
2024-09-14|15:15:15|monthly subscription|Netflix|-17.99
2024-02-10|16:16:16|web hosting fee|Google|-14.00
2024-06-05|12:12:12|Invoice 1011 paid|Anna|880.00
2024-10-02|10:10:10|grocery shopping|Walmart|-69.75
2024-05-05|09:09:09|client payment|Joe|1020.00
2024-07-29|17:17:17|fuel refill|Shell|-64.45
2024-01-25|14:14:14|coffee|Starbucks|-4.45
2024-04-17|08:08:08|office chair|Target|-140.00
2024-04-20|14:14:14|Invoice 1012 paid|QuickBooks|1120.00
2024-06-15|19:19:19|refund processed|Apple|70.00
2024-08-17|11:11:11|monthly subscription|Netflix|-15.49
2024-10-04|16:16:16|client payment|Freelance LLC|1500.00
2024-09-25|12:12:12|hardware repair|BestBuy|-205.00
2024-05-12|14:14:14|laptop purchase|Amazon|-1245.00
2024-07-21|10:10:10|Invoice 1014 paid|Anna|970.00
2024-01-17|11:11:11|coffee|Starbucks|-4.60
2024-04-08|14:13:13|fuel refill|Shell|-62.30
2023-06-02|15:15:15|monthly subscription|Netflix|-12.50
2023-08-28|09:09:09|grocery shopping|Costco|-87.60
2023-09-07|18:18:18|web hosting fee|Google|-10.50
2023-02-05|17:17:17|client payment|Joe|1080.00
2023-04-07|20:20:20|Invoice 1014 paid|QuickBooks|1440.00
2023-07-09|08:08:08|office chair|Target|-118.00
2023-01-28|12:12:12|hardware repair|BestBuy|-195.00
2023-03-02|14:14:14|refund processed|Apple|60.00
2023-06-13|13:13:13|laptop purchase|Amazon|-1280.00
2023-10-05|10:10:10|Invoice 1015 paid|Anna|990.00
2023-02-17|11:11:11|coffee|Starbucks|-3.75
2023-05-03|09:09:09|monthly subscription|Netflix|-13.25
2023-07-17|15:15:15|client payment|Freelance LLC|1550.00
2023-09-03|18:18:18|grocery shopping|Walmart|-73.95
2023-04-11|07:07:07|fuel refill|Shell|-59.60
2023-03-19|12:12:12|web hosting fee|Google|-11.50
2023-06-25|16:16:16|Invoice 1016 paid|Joe|1010.00
2025-10-15|13:17:59|Stipend|Wisely|200.0